Unix	jday	U-component_of_wind
1167609600	1	4.32070691470433
1167613200	1	4.98027007443744
1167616800	1	5.54400567342957
1167620400	1	5.84911814535182
1167624000	1	5.61739714292932
1167627600	1	5.20747887944448
1167631200	1	4.50736304607023
1167634800	1	3.27546660048062
1167638400	1	1.75895755294427
1167642000	1	-0.035020155681977
1167645600	1	-1.30717360116167
1167649200	1	-2.35371592466969
1167652800	1	-4.08925527641269
1167656400	1	-4.05122318216126
1167660000	1	-4.10346952639878
1167663600	1	-4.146350015501
1167667200	1	-4.00351414831548
1167670800	1	-3.84222596967774
1167674400	1	-1.82295771668976
1167678000	1	-2.68026894711679
1167681600	1	-2.25289241644591
1167685200	1	-1.24404519749189
1167688800	1	0.126180087243037
1167692400	1	1.38993438136561
1167696000	2	2.05849673598612
1167699600	2	2.63585238273188
1167703200	2	2.88758140475277
1167706800	2	3.23320138268921
1167710400	2	3.0627330458088
1167714000	2	2.74871212475029
1167717600	2	2.04914594306015
1167721200	2	1.84317553453888
1167724800	2	0.980324779543033
1167728400	2	-0.273221943211187
1167732000	2	-1.29423559606996
1167735600	2	-2.20469585161245
1167739200	2	-2.11225320031414
1167742800	2	-3.26080631877794
1167746400	2	-3.85068968669643
1167750000	2	-4.15322076362373
1167753600	2	-4.17596933212662
1167757200	2	-4.16299022413112
1167760800	2	-2.10178460508183
1167764400	2	-2.81284137526933
1167768000	2	-2.42264172409924
1167771600	2	-1.37570289141494
1167775200	2	0.699117998745307
1167778800	2	2.46723523660362
1167782400	3	2.1628822332621
1167786000	3	3.77743400345488
1167789600	3	4.59004451814622
1167793200	3	5.06608615190887
1167796800	3	5.10936523264788
1167800400	3	5.10780626475716
1167804000	3	5.99893508979617
1167807600	3	4.3464609255202
1167811200	3	3.38922814329602
1167814800	3	2.75521503969433
1167818400	3	2.1920115948982
1167822000	3	1.56720227043963
1167825600	3	1.04437404864799
1167829200	3	0.767161579653217
1167832800	3	0.461177469456766
1167836400	3	0.0988057346019284
1167840000	3	-0.275491106598658
1167843600	3	-0.612823457905835
1167847200	3	-0.554520749411537
1167850800	3	-0.450829628912621
1167854400	3	0.0757570340217993
1167858000	3	1.41240699843447
1167861600	3	2.89782202580502
1167865200	3	3.88428875746335
1167868800	4	2.75846376344735
1167872400	4	4.69566819955105
1167876000	4	5.10631014032674
1167879600	4	5.23463035797539
1167883200	4	5.09037940018573
1167886800	4	4.81348075219324
1167890400	4	4.92070142300627
1167894000	4	4.12194001383145
1167897600	4	2.92427715544735
1167901200	4	2.18729878566943
1167904800	4	1.8987406068106
1167908400	4	1.58480447062809
1167912000	4	0.885964235980625
1167915600	4	1.11852699346884
1167919200	4	1.07816627280051
1167922800	4	0.864692779165566
1167926400	4	0.73270180027663
1167930000	4	0.573452224191729
1167933600	4	0.193306155840679
1167937200	4	-0.343407735434696
1167940800	4	-0.321970540526136
1167944400	4	0.935117856393394
1167948000	4	2.53397214759172
1167951600	4	3.4947002248357
1167955200	5	4.18743619897523
1167958800	5	4.89341573927696
1167962400	5	5.15201112046659
1167966000	5	4.79668789189571
1167969600	5	4.27783130775838
1167973200	5	3.95005808087869
1167976800	5	3.29673076076441
1167980400	5	3.58058833030179
1167984000	5	3.52942336834247
1167987600	5	3.25432236773249
1167991200	5	3.09013138730339
1167994800	5	3.0167402193431
1167998400	5	1.4397258613614
1168002000	5	2.3008354427026
1168005600	5	2.89400812361749
1168009200	5	2.89877254017448
1168012800	5	2.61243170571597
1168016400	5	2.34083107270557
1168020000	5	4.54108460723708
1168023600	5	3.23050580338491
1168027200	5	3.15601433944863
1168030800	5	3.60662672067613
1168034400	5	4.29322766354294
1168038000	5	4.82196727743133
1168041600	6	6.18754362116862
1168045200	6	5.82657286265813
1168048800	6	5.69842499659707
1168052400	6	5.57876769297539
1168056000	6	5.32686450343174
1168059600	6	5.01786995241653
1168063200	6	5.81112859890502
1168066800	6	4.66142823969573
1168070400	6	4.24933760109622
1168074000	6	3.9666037372322
1168077600	6	3.90912040973219
1168081200	6	3.76654295518745
1168084800	6	3.33291454675699
1168088400	6	2.77626796605499
1168092000	6	2.19320778691572
1168095600	6	1.94692461908547
1168099200	6	1.92795846422232
1168102800	6	1.79907226837634
1168106400	6	1.66712761236067
1168110000	6	0.947178826951653
1168113600	6	0.224586865000145
1168117200	6	-0.237785720665174
1168120800	6	0.28131802430646
1168124400	6	1.05335547054383
1168128000	7	2.44774877047781
1168131600	7	2.34403078598832
1168135200	7	1.73515196183175
1168138800	7	1.0932682515227
1168142400	7	0.87662227392377
1168146000	7	0.611930857058104
1168149600	7	0.777030429609526
1168153200	7	0.105969512221838
1168156800	7	-0.90895287111582
1168160400	7	-1.83343183217076
1168164000	7	-2.03460976266279
1168167600	7	-2.25409936656141
1168171200	7	-1.23318515331897
1168174800	7	-1.0455045615926
1168178400	7	-0.566788345292723
1168182000	7	-0.167717577890427
1168185600	7	-0.208071615959277
1168189200	7	-0.0989591620813001
1168192800	7	-1.08194330149542
1168196400	7	0.207381582044194
1168200000	7	0.920434300701517
1168203600	7	1.12339066870328
1168207200	7	1.21045748349359
1168210800	7	1.23168150138322
1168214400	8	0.910970474176594
1168218000	8	1.92437376218687
1168221600	8	2.41303530610575
1168225200	8	2.59423514993889
1168228800	8	2.04690701321407
1168232400	8	1.44479357032237
1168236000	8	0.256638770279094
1168239600	8	0.282192571683313
1168243200	8	0.056615356631371
1168246800	8	-0.015316312776846
1168250400	8	-0.123589790357224
1168254000	8	-0.117485877267688
1168257600	8	1.34696297204761
1168261200	8	0.42584973077442
1168264800	8	-0.23029429891459
1168268400	8	-0.89694492649893
1168272000	8	-1.52805737483692
1168275600	8	-2.13076175664962
1168279200	8	-1.0953149045597
1168282800	8	-2.03797207782704
1168286400	8	-2.68810568642452
1168290000	8	-3.03089484618977
1168293600	8	-3.32812307347452
1168297200	8	-3.50082806456908
1168300800	9	-2.947507156562
1168304400	9	-2.92546067384506
1168308000	9	-2.85235048882835
1168311600	9	-2.84420865789197
1168315200	9	-2.69947456366817
1168318800	9	-2.46144202639666
1168322400	9	-1.73527252062537
1168326000	9	-2.69457181347371
1168329600	9	-3.20553372615701
1168333200	9	-3.6615135279532
1168336800	9	-3.68307951116048
1168340400	9	-3.94551980329077
1168344000	9	-4.75311006733768
1168347600	9	-4.25373625423377
1168351200	9	-4.45906580365746
1168354800	9	-4.55225031269122
1168358400	9	-4.36249548966286
1168362000	9	-3.74664609466944
1168365600	9	-2.6290750458601
1168369200	9	-2.77789146914736
1168372800	9	-2.62214687645786
1168376400	9	-2.63675363493512
1168380000	9	-2.88761632007371
1168383600	9	-3.19936215782136
1168387200	10	-4.00128256082148
1168390800	10	-4.11323754462761
1168394400	10	-4.44289234079201
1168398000	10	-4.84775288718477
1168401600	10	-5.05225598794338
1168405200	10	-5.12449298623951
1168408800	10	-4.72140440780779
1168412400	10	-4.36930747429991
1168416000	10	-4.13110942929697
1168419600	10	-4.1704320138915
1168423200	10	-4.12310995289676
1168426800	10	-4.04768519890889
1168430400	10	-2.89837636690384
1168434000	10	-3.27336866560485
1168437600	10	-3.04385063479057
1168441200	10	-2.68556290978134
1168444800	10	-2.4886166389888
1168448400	10	-2.40180047945283
1168452000	10	-3.01157348955733
1168455600	10	-2.79502899639932
1168459200	10	-2.75110958867313
1168462800	10	-2.51199627066423
1168466400	10	-2.26330707639459
1168470000	10	-2.12108287532483
1168473600	11	-3.24160509118653
1168477200	11	-2.89157365890451
1168480800	11	-2.88924177200657
1168484400	11	-2.73444066844959
1168488000	11	-2.31443194494005
1168491600	11	-1.99864186974147
1168495200	11	-2.38103491310602
1168498800	11	-2.49487627303786
1168502400	11	-2.71359062308704
1168506000	11	-3.07880704211365
1168509600	11	-3.10430562845989
1168513200	11	-3.18322200591257
1168516800	11	-3.45691871973617
1168520400	11	-3.6261787243362
1168524000	11	-3.95787806999841
1168527600	11	-4.07530485891109
1168531200	11	-3.98713030671936
1168534800	11	-3.79689077066758
1168538400	11	-2.17377433975403
1168542000	11	-2.27376721986461
1168545600	11	-1.49845027930303
1168549200	11	-0.531611004859934
1168552800	11	0.339353634919307
1168556400	11	1.26123616595852
1168560000	12	1.87541266820949
1168563600	12	2.97475513845322
1168567200	12	3.78191234563924
1168570800	12	4.26612941887651
1168574400	12	4.03304021008278
1168578000	12	3.76660471973282
1168581600	12	3.91270069154974
1168585200	12	2.41687757944516
1168588800	12	1.34227764816061
1168592400	12	0.429054628306958
1168596000	12	-0.42931331697185
1168599600	12	-1.05035067957603
1168603200	12	-0.162953668066544
1168606800	12	-0.920645045076179
1168610400	12	-1.40573850668596
1168614000	12	-1.84830131575242
1168617600	12	-2.21847745130006
1168621200	12	-2.5149181430697
1168624800	12	-3.64157041739566
1168628400	12	-3.28358348360308
1168632000	12	-3.14773317739948
1168635600	12	-3.17807418939402
1168639200	12	-3.43147489813591
1168642800	12	-3.56311103324148
1168646400	13	-5.85317875443934
1168650000	13	-4.96012439282235
1168653600	13	-4.80319444654404
1168657200	13	-4.51729871576982
1168660800	13	-4.25905625013159
1168664400	13	-4.06996630225609
1168668000	13	-3.70720361684969
1168671600	13	-4.54024138738192
1168675200	13	-5.12057001347516
1168678800	13	-5.38661482274567
1168682400	13	-5.32395649925998
1168686000	13	-4.82765615407604
1168689600	13	-3.72836303861606
1168693200	13	-4.15435063268499
1168696800	13	-4.10013894731605
1168700400	13	-4.064995583589
1168704000	13	-4.03370792737947
1168707600	13	-3.89677305133374
1168711200	13	0.0773270938299977
1168714800	13	-1.71874927880695
1168718400	13	-2.87241136095035
1168722000	13	-3.81817637262223
1168725600	13	-3.81241557220277
1168729200	13	-3.5642436444076
