Unix	jday	Temperature
662688000	1	289.844751862578
662691600	1	289.818871027263
662695200	1	289.095710911007
662698800	1	288.417071439783
662702400	1	287.871507136877
662706000	1	287.252947367007
662709600	1	286.246911094635
662713200	1	285.707308275366
662716800	1	285.617208586368
662720400	1	285.644590223783
662724000	1	285.807443016023
662727600	1	286.025874907972
662731200	1	286.343178026353
662734800	1	286.577426904171
662738400	1	286.070019800356
662742000	1	285.692968220722
662745600	1	285.941209679292
662749200	1	286.059040913357
662752800	1	285.814796618924
662756400	1	286.166148763314
662760000	1	286.657663689072
662763600	1	287.595212733871
662767200	1	288.76640363859
662770800	1	289.42587486897
662774400	2	290.079123078758
662778000	2	289.886348547341
662781600	2	289.770008218701
662785200	2	289.518274608327
662788800	2	289.118851214976
662792400	2	288.580089754024
662796000	2	288.539004443041
662799600	2	287.934744433347
662803200	2	286.918995611712
662806800	2	286.711534623435
662810400	2	286.029506681678
662814000	2	285.405323423994
662817600	2	284.630286445397
662821200	2	284.134576287123
662824800	2	283.634024864511
662828400	2	283.108203949951
662832000	2	282.616136917554
662835600	2	282.206362644679
662839200	2	282.315634059232
662842800	2	283.643270159275
662846400	2	285.750708625303
662850000	2	288.705694669204
662853600	2	289.225468504311
662857200	2	289.779625853908
662860800	3	290.551511584858
662864400	3	290.401389020006
662868000	3	290.248681581483
662871600	3	289.986986722766
662875200	3	289.560102878914
662878800	3	288.929957762063
662882400	3	287.694606994476
662886000	3	286.38340845597
662889600	3	285.198415697566
662893200	3	284.575223476392
662896800	3	284.581140207276
662900400	3	284.62438523686
662904000	3	284.706727630195
662907600	3	284.311756404347
662911200	3	284.137862621378
662914800	3	284.557789596111
662918400	3	284.857499341521
662922000	3	284.862696006857
662925600	3	284.558986479873
662929200	3	284.812780631422
662932800	3	285.278012513964
662936400	3	286.735624840988
662940000	3	287.606110238069
662943600	3	288.3142813604
662947200	4	289.053051839459
662950800	4	289.138267443547
662954400	4	289.050947242029
662958000	4	288.913031649408
662961600	4	288.58691509329
662965200	4	288.071493357146
662968800	4	286.962673659186
662972400	4	286.111881225452
662976000	4	285.022384460392
662979600	4	284.050174781457
662983200	4	283.833757553109
662986800	4	283.879390379018
662990400	4	284.203747851509
662994000	4	284.388812057698
662997600	4	284.523831262673
663001200	4	284.665010253581
663004800	4	284.713395704761
663008400	4	284.69459093847
663012000	4	284.543471674041
663015600	4	285.481834684012
663019200	4	286.716142183692
663022800	4	287.700614918732
663026400	4	288.962720030802
663030000	4	289.8605554561
663033600	5	290.658983673227
663037200	5	290.533014125015
663040800	5	290.562016171758
663044400	5	290.433877104544
663048000	5	290.211266739663
663051600	5	289.817998319954
663055200	5	289.247083731545
663058800	5	288.706382603138
663062400	5	288.193905670448
663066000	5	288.00637179591
663069600	5	288.023490535012
663073200	5	287.988709887429
663076800	5	288.705624376571
663080400	5	288.713232754141
663084000	5	288.512984880807
663087600	5	288.270576918174
663091200	5	287.999285753225
663094800	5	287.76819027484
663098400	5	288.100770984268
663102000	5	288.261123081078
663105600	5	288.397609087125
663109200	5	288.531137809541
663112800	5	288.79175703176
663116400	5	288.958392500771
