Unix	jday	Downward_Short-Wave_Rad_Flux
694224000	1	102.791998627206
694227600	1	102.791998627206
694231200	1	131.913803704404
694234800	1	148.340582639036
694238400	1	154.724997308033
694242000	1	149.214332273946
694245600	1	61.4744296064919
694249200	1	61.4744296064919
694252800	1	41.5786796835014
694256400	1	27.8926874536627
694260000	1	20.9195865615263
694263600	1	16.7317314798801
694267200	1	0
694270800	1	0
694274400	1	0
694278000	1	0
694281600	1	0
694285200	1	0
694288800	1	122.940238396212
694292400	1	122.940238396212
694296000	1	161.786518363358
694299600	1	196.823685659654
694303200	1	254.917735733241
694306800	1	323.336606818661
694310400	2	990.734283422511
694314000	2	990.734283422511
694317600	2	1014.6753810656
694321200	2	996.41687935518
694324800	2	954.518262172041
694328400	2	894.256189942359
694332000	2	262.211564852005
694335600	2	262.211564852005
694339200	2	172.310897282517
694342800	2	115.472945058055
694346400	2	86.6098316197403
694350000	2	69.2949620010821
694353600	2	0
694357200	2	0
694360800	2	0
694364400	2	0
694368000	2	0
694371600	2	0
694375200	2	201.560421880914
694378800	2	201.560421880914
694382400	2	301.03586759064
694386000	2	400.298629121422
694389600	2	494.525869786664
694393200	2	578.681393705033
694396800	3	1043.8560923905
694400400	3	1043.8560923905
694404000	3	1033.1374208107
694407600	3	1003.79077469134
694411200	3	956.81309412876
694414800	3	894.733537184159
694418400	3	259.279600458934
694422000	3	259.279600458934
694425600	3	170.000880692014
694429200	3	113.933961989269
694432800	3	85.4540337073579
694436400	3	68.3604753667198
694440000	3	0
694443600	3	0
694447200	3	0
694450800	3	0
694454400	3	0
694458000	3	0
694461600	3	195.162684553761
694465200	3	195.162684553761
694468800	3	292.88955637269
694472400	3	391.060420102826
694476000	3	484.135312002543
694479600	3	567.731166260175
694483200	4	1025.45200399841
694486800	4	1025.45200399841
694490400	4	1014.36393778196
694494000	4	984.471632713122
694497600	4	862.705621895595
694501200	4	741.475233521953
694504800	4	93.5201881656936
694508400	4	93.5201881656936
694512000	4	77.4216204811825
694515600	4	52.1492965669227
694519200	4	39.1068673239428
694522800	4	31.2813601412533
694526400	4	0
694530000	4	0
694533600	4	0
694537200	4	0
694540800	4	0
694544400	4	0
694548000	4	197.727794497955
694551600	4	197.727794497955
694555200	4	297.716624001314
694558800	4	397.589635380306
694562400	4	491.975127671836
694566000	4	577.106392943497
694569600	5	1050.51800824586
694573200	5	1050.51800824586
694576800	5	1041.40756313968
694580400	5	1011.95441607177
694584000	5	963.847419519643
694587600	5	900.113280187542
694591200	5	240.90935656412
694594800	5	240.90935656412
694598400	5	157.137730649645
694602000	5	105.35643196721
694605600	5	79.0129792660279
694609200	5	63.2138169101764
694612800	5	0
694616400	5	0
694620000	5	0
694623600	5	0
694627200	5	0
694630800	5	0
694634400	5	183.886081809791
694638000	5	183.886081809791
694641600	5	280.165076308346
694645200	5	375.951835860531
694648800	5	464.981799382316
694652400	5	542.788277443934
694656000	6	952.323469207361
694659600	6	952.323469207361
694663200	6	912.272261057075
694666800	6	845.686271954188
694670400	6	755.872432767116
694674000	6	660.193427579506
694677600	6	45.548689227241
694681200	6	45.548689227241
694684800	6	28.1547736247617
694688400	6	18.8657541434443
694692000	6	14.1395967569784
694695600	6	11.3151335646093
694699200	6	0
694702800	6	0
694706400	6	0
