Unix	jday	Downward_Short-Wave_Rad_Flux
883612800	1	1059.8231936474
883616400	1	1059.8231936474
883620000	1	1052.35847149288
883623600	1	1025.78860186416
883627200	1	981.485250257542
883630800	1	921.549397375056
883634400	1	277.563940075503
883638000	1	277.563940075503
883641600	1	183.762117667567
883645200	1	123.043859583435
883648800	1	92.2813140364524
883652400	1	73.8289811549431
883656000	1	0
883659600	1	0
883663200	1	0
883666800	1	0
883670400	1	0
883674000	1	0
883677600	1	191.80934140136
883681200	1	191.80934140136
883684800	1	294.460555664546
883688400	1	396.966467389826
883692000	1	494.433808696464
883695600	1	582.584238363538
883699200	2	1077.1413923428
883702800	2	1077.1413923428
883706400	2	1069.26284597262
883710000	2	1041.95949073627
883713600	2	996.833011679548
883717200	2	936.045646360152
883720800	2	288.457629528172
883724400	2	288.457629528172
883728000	2	191.098982115647
883731600	2	127.9575457716
883735200	2	95.9638135215165
883738800	2	76.771485608012
883742400	2	0
883746000	2	0
883749600	2	0
883753200	2	0
883756800	2	0
883760400	2	0
883764000	2	190.276082438537
883767600	2	190.276082438537
883771200	2	292.4316435108
883774800	2	394.140598222799
883778400	2	490.646828804957
883782000	2	577.717465306045
883785600	3	1065.19185038797
883789200	3	1065.19185038797
883792800	3	1057.45891732305
883796400	3	1030.60553974342
883800000	3	985.93336140172
883803600	3	925.5700419084
883807200	3	282.123761495072
883810800	3	282.123761495072
883814400	3	186.514737627529
883818000	3	124.887008351854
883821600	3	93.6697776836393
883825200	3	74.9387680117443
883828800	3	0
883832400	3	0
883836000	3	0
883839600	3	0
883843200	3	0
883846800	3	0
883850400	3	152.37865379284
883854000	3	152.37865379284
883857600	3	221.210134618162
883861200	3	282.129105950282
883864800	3	326.940500586857
883868400	3	347.294316745025
883872000	4	382.668777812276
883875600	4	382.668777812276
883879200	4	499.770644745807
883882800	4	575.507188048121
883886400	4	612.7678120818
883890000	4	595.138614144157
883893600	4	94.0084553554993
883897200	4	94.0084553554993
883900800	4	55.2692305660962
883904400	4	36.9415437685627
883908000	4	27.7078502101695
883911600	4	22.1659601172163
883915200	4	0
883918800	4	0
883922400	4	0
883926000	4	0
883929600	4	0
883933200	4	0
883936800	4	17.0608674219734
883940400	4	17.0608674219734
883944000	4	21.3017934882683
883947600	4	24.2717634404473
883951200	4	27.5566652740102
883954800	4	31.1231571604266
883958400	5	51.9644627423829
883962000	5	51.9644627423829
883965600	5	53.8158073832794
883969200	5	55.61383074005
883972800	5	56.4277343984063
883976400	5	53.8879194895483
883980000	5	19.6654103596616
883983600	5	19.6654103596616
883987200	5	14.3437604661543
883990800	5	9.65940920326205
883994400	5	7.24234896544567
883998000	5	5.80044169149904
884001600	5	0
884005200	5	0
884008800	5	0
884012400	5	0
884016000	5	0
884019600	5	0
884023200	5	43.8081557706502
884026800	5	43.8081557706502
884030400	5	82.6483978141936
884034000	5	151.541818778987
884037600	5	215.36198269267
884041200	5	273.555664660246
884044800	6	468.024228011323
884048400	6	468.024228011323
884052000	6	444.777450708031
884055600	6	431.628147945423
884059200	6	419.129685985341
884062800	6	394.36743889376
884066400	6	157.307721452401
884070000	6	157.307721452401
884073600	6	109.162541470156
884077200	6	73.2918973915787
884080800	6	54.964400926025
884084400	6	43.9723321151975
884088000	6	0
884091600	6	0
884095200	6	0
884098800	6	0
884102400	6	0
884106000	6	0
884109600	6	79.3364123902747
884113200	6	79.3364123902747
884116800	6	106.772841534161
884120400	6	146.471561096151
884124000	6	203.413705631214
884127600	6	268.748479016206
884131200	7	834.501349162626
884134800	7	834.501349162626
884138400	7	880.777910641608
884142000	7	891.305975449085
884145600	7	871.024679521251
884149200	7	827.603306961847
884152800	7	274.232029935501
884156400	7	274.232029935501
884160000	7	180.52886256504
884163600	7	120.852388615976
884167200	7	90.6442053026958
884170800	7	72.5088495217043
884174400	7	0
884178000	7	0
884181600	7	0
884185200	7	0
884188800	7	0
884192400	7	0
884196000	7	99.9019111765393
884199600	7	99.9019111765393
884203200	7	173.184037914952
884206800	7	253.950727905358
884210400	7	298.439185107844
884214000	7	333.758574266104
884217600	8	420.720725101165
884221200	8	420.720725101165
884224800	8	330.280484878685
884228400	8	273.251219677958
884232000	8	240.401333146761
884235600	8	214.436031212825
884239200	8	40.3252816485639
884242800	8	40.3252816485639
884246400	8	26.5694741356251
884250000	8	17.8482806683226
